"品詞細分類1","品詞細分類2","品詞細分類3","活用型","原形","読み","基本形","文語基本形","未然ヌ接続","未然ウ接続","連用タ接続","連用テ接続","連用ゴザイ接続","体言接続","仮定形","命令ｅ","仮定縮約１","仮定縮約２","ガル接続","基本形-促音便"
"自立","*","*","形容詞・アウオ段","赤い","アカイ,アカシ,アカカラ,アカカロ,アカカッ,アカク,アカクッ,アカウ,アカゥ,アカキ,アカケレ,アカカレ,アカケリャ,アカキャ,アカ","赤い","赤し","赤から","赤かろ","赤かっ","赤くっ","赤ぅ","赤き","赤けれ","赤かれ","赤けりゃ","赤きゃ","赤",""
"自立","*","*","形容詞・イ段","よわよわしい","ヨワヨワシイ,ヨワヨワシ,ヨワヨワシカラ,ヨワヨワシカロ,ヨワヨワシカッ,ヨワヨワシク,ヨワヨワシクッ,ヨワヨワシュウ,ヨワヨワシュゥ,ヨワヨワシキ,ヨワヨワシケレ,ヨワヨワシカレ,ヨワヨワシケリャ,ヨワヨワシキャ,ヨワヨワシ","よわよわしい","よわよわし","よわよわしから","よわよわしかろ","よわよわしかっ","よわよわしくっ","よわよわしゅぅ","よわよわしき","よわよわしけれ","よわよわしかれ","よわよわしけりゃ","よわよわしきゃ","よわよわし",""
"自立","*","*","形容詞・イ段","たのもしい","タノモシイ,タノモシ,タノモシカラ,タノモシカロ,タノモシカッ,タノモシク,タノモシクッ,タノモシュウ,タノモシュゥ,タノモシキ,タノモシケレ,タノモシカレ,タノモシケリャ,タノモシキャ,タノモシ","たのもしい","たのもし","たのもしから","たのもしかろ","たのもしかっ","たのもしくっ","たのもしゅぅ","たのもしき","たのもしけれ","たのもしかれ","たのもしけりゃ","たのもしきゃ","たのもし",""
"自立","*","*","形容詞・アウオ段","どろくさい","ドロクサイ,ドロクサシ,ドロクサカラ,ドロクサカロ,ドロクサカッ,ドロクサク,ドロクサクッ,ドロクサウ,ドロクサゥ,ドロクサキ,ドロクサケレ,ドロクサカレ,ドロクサケリャ,ドロクサキャ,ドロクサ","どろくさい","どろくさし","どろくさから","どろくさかろ","どろくさかっ","どろくさくっ","どろくさぅ","どろくさき","どろくさけれ","どろくさかれ","どろくさけりゃ","どろくさきゃ","どろくさ",""
"自立","*","*","形容詞・アウオ段","人なつこい","ヒトナツコイ,ヒトナツコシ,ヒトナツコカラ,ヒトナツコカロ,ヒトナツコカッ,ヒトナツコク,ヒトナツコクッ,ヒトナツコウ,ヒトナツコゥ,ヒトナツコキ,ヒトナツコケレ,ヒトナツコカレ,ヒトナツコケリャ,ヒトナツコキャ,ヒトナツコ","人なつこい","人なつこし","人なつこから","人なつこかろ","人なつこかっ","人なつこくっ","人なつこぅ","人なつこき","人なつこけれ","人なつこかれ","人なつこけりゃ","人なつこきゃ","人なつこ",""
"自立","*","*","形容詞・イ段","あやしい","アヤシイ,アヤシ,アヤシカラ,アヤシカロ,アヤシカッ,アヤシク,アヤシクッ,アヤシュウ,アヤシュゥ,アヤシキ,アヤシケレ,アヤシカレ,アヤシケリャ,アヤシキャ,アヤシ","あやしい","あやし","あやしから","あやしかろ","あやしかっ","あやしくっ","あやしゅぅ","あやしき","あやしけれ","あやしかれ","あやしけりゃ","あやしきゃ","あやし",""
"自立","*","*","形容詞・イ段","こ難しい","コムズカシイ,コムズカシ,コムズカシカラ,コムズカシカロ,コムズカシカッ,コムズカシク,コムズカシクッ,コムズカシュウ,コムズカシュゥ,コムズカシキ,コムズカシケレ,コムズカシカレ,コムズカシケリャ,コムズカシキャ,コムズカシ","こ難しい","こ難し","こ難しから","こ難しかろ","こ難しかっ","こ難しくっ","こ難しゅぅ","こ難しき","こ難しけれ","こ難しかれ","こ難しけりゃ","こ難しきゃ","こ難し",""
"自立","*","*","形容詞・イ段","かんばしい","カンバシイ,カンバシ,カンバシカラ,カンバシカロ,カンバシカッ,カンバシク,カンバシクッ,カンバシュウ,カンバシュゥ,カンバシキ,カンバシケレ,カンバシカレ,カンバシケリャ,カンバシキャ,カンバシ","かんばしい","かんばし","かんばしから","かんばしかろ","かんばしかっ","かんばしくっ","かんばしゅぅ","かんばしき","かんばしけれ","かんばしかれ","かんばしけりゃ","かんばしきゃ","かんばし",""
"自立","*","*","形容詞・イ段","かいがいしい","カイガイシイ,カイガイシ,カイガイシカラ,カイガイシカロ,カイガイシカッ,カイガイシク,カイガイシクッ,カイガイシュウ,カイガイシュゥ,カイガイシキ,カイガイシケレ,カイガイシカレ,カイガイシケリャ,カイガイシキャ,カイガイシ","かいがいしい","かいがいし","かいがいしから","かいがいしかろ","かいがいしかっ","かいがいしくっ","かいがいしゅぅ","かいがいしき","かいがいしけれ","かいがいしかれ","かいがいしけりゃ","かいがいしきゃ","かいがいし",""
"自立","*","*","形容詞・アウオ段","真白い","マッシロイ,マッシロシ,マッシロカラ,マッシロカロ,マッシロカッ,マッシロク,マッシロクッ,マッシロウ,マッシロゥ,マッシロキ,マッシロケレ,マッシロカレ,マッシロケリャ,マッシロキャ,マッシロ","真白い","真白し","真白から","真白かろ","真白かっ","真白くっ","真白ぅ","真白き","真白けれ","真白かれ","真白けりゃ","真白きゃ","真白",""
"自立","*","*","形容詞・アウオ段","手荒い","テアライ,テアラシ,テアラカラ,テアラカロ,テアラカッ,テアラク,テアラクッ,テアラウ,テアラゥ,テアラキ,テアラケレ,テアラカレ,テアラケリャ,テアラキャ,テアラ","手荒い","手荒し","手荒から","手荒かろ","手荒かっ","手荒くっ","手荒ぅ","手荒き","手荒けれ","手荒かれ","手荒けりゃ","手荒きゃ","手荒",""
"非自立","*","*","形容詞・アウオ段","難い","ガタイ,ガタシ,ガタカラ,ガタカロ,ガタカッ,ガタク,ガタクッ,ガタウ,ガタゥ,ガタキ,ガタケレ,ガタカレ,ガタケリャ,ガタキャ,ガタ","難い","難し","難から","難かろ","難かっ","難くっ","難ぅ","難き","難けれ","難かれ","難けりゃ","難きゃ","難",""
"自立","*","*","形容詞・アウオ段","難い","カタイ,カタシ,カタカラ,カタカロ,カタカッ,カタク,カタクッ,カタウ,カタゥ,カタキ,カタケレ,カタカレ,カタケリャ,カタキャ,カタ","難い","難し","難から","難かろ","難かっ","難くっ","難ぅ","難き","難けれ","難かれ","難けりゃ","難きゃ","難",""
"自立","*","*","形容詞・アウオ段","思いがけない","オモイガケナイ,オモイガケナシ,オモイガケナカラ,オモイガケナカロ,オモイガケナカッ,オモイガケナク,オモイガケナクッ,オモイガケナウ,オモイガケナゥ,オモイガケナキ,オモイガケナケレ,オモイガケナカレ,オモイガケナケリャ,オモイガケナキャ,オモイガケナ","思いがけない","思いがけなし","思いがけなから","思いがけなかろ","思いがけなかっ","思いがけなくっ","思いがけなぅ","思いがけなき","思いがけなけれ","思いがけなかれ","思いがけなけりゃ","思いがけなきゃ","思いがけな",""
"自立","*","*","形容詞・イ段","とぼしい","トボシイ,トボシ,トボシカラ,トボシカロ,トボシカッ,トボシク,トボシクッ,トボシュウ,トボシュゥ,トボシキ,トボシケレ,トボシカレ,トボシケリャ,トボシキャ,トボシ","とぼしい","とぼし","とぼしから","とぼしかろ","とぼしかっ","とぼしくっ","とぼしゅぅ","とぼしき","とぼしけれ","とぼしかれ","とぼしけりゃ","とぼしきゃ","とぼし",""
"自立","*","*","形容詞・アウオ段","粗い","アライ,アラシ,アラカラ,アラカロ,アラカッ,アラク,アラクッ,アラウ,アラゥ,アラキ,アラケレ,アラカレ,アラケリャ,アラキャ,アラ","粗い","粗し","粗から","粗かろ","粗かっ","粗くっ","粗ぅ","粗き","粗けれ","粗かれ","粗けりゃ","粗きゃ","粗",""
"自立","*","*","形容詞・アウオ段","ぬきがたい","ヌキガタイ,ヌキガタシ,ヌキガタカラ,ヌキガタカロ,ヌキガタカッ,ヌキガタク,ヌキガタクッ,ヌキガタウ,ヌキガタゥ,ヌキガタキ,ヌキガタケレ,ヌキガタカレ,ヌキガタケリャ,ヌキガタキャ,ヌキガタ","ぬきがたい","ぬきがたし","ぬきがたから","ぬきがたかろ","ぬきがたかっ","ぬきがたくっ","ぬきがたぅ","ぬきがたき","ぬきがたけれ","ぬきがたかれ","ぬきがたけりゃ","ぬきがたきゃ","ぬきがた",""
"自立","*","*","形容詞・アウオ段","青黒い","アオグロイ,アオグロシ,アオグロカラ,アオグロカロ,アオグロカッ,アオグロク,アオグロクッ,アオグロウ,アオグロゥ,アオグロキ,アオグロケレ,アオグロカレ,アオグロケリャ,アオグロキャ,アオグロ","青黒い","青黒し","青黒から","青黒かろ","青黒かっ","青黒くっ","青黒ぅ","青黒き","青黒けれ","青黒かれ","青黒けりゃ","青黒きゃ","青黒",""
"自立","*","*","形容詞・アウオ段","わすれがたい","ワスレガタイ,ワスレガタシ,ワスレガタカラ,ワスレガタカロ,ワスレガタカッ,ワスレガタク,ワスレガタクッ,ワスレガタウ,ワスレガタゥ,ワスレガタキ,ワスレガタケレ,ワスレガタカレ,ワスレガタケリャ,ワスレガタキャ,ワスレガタ","わすれがたい","わすれがたし","わすれがたから","わすれがたかろ","わすれがたかっ","わすれがたくっ","わすれがたぅ","わすれがたき","わすれがたけれ","わすれがたかれ","わすれがたけりゃ","わすれがたきゃ","わすれがた",""
"自立","*","*","形容詞・アウオ段","厳つい","イカツイ,イカツシ,イカツカラ,イカツカロ,イカツカッ,イカツク,イカツクッ,イカツウ,イカツゥ,イカツキ,イカツケレ,イカツカレ,イカツケリャ,イカツキャ,イカツ","厳つい","厳つし","厳つから","厳つかろ","厳つかっ","厳つくっ","厳つぅ","厳つき","厳つけれ","厳つかれ","厳つけりゃ","厳つきゃ","厳つ",""
"自立","*","*","形容詞・イ段","妖しい","アヤシイ,アヤシ,アヤシカラ,アヤシカロ,アヤシカッ,アヤシク,アヤシクッ,アヤシュウ,アヤシュゥ,アヤシキ,アヤシケレ,アヤシカレ,アヤシケリャ,アヤシキャ,アヤシ","妖しい","妖し","妖しから","妖しかろ","妖しかっ","妖しくっ","妖しゅぅ","妖しき","妖しけれ","妖しかれ","妖しけりゃ","妖しきゃ","妖し",""
"自立","*","*","形容詞・イ段","華華しい","ハナバナシイ,ハナバナシ,ハナバナシカラ,ハナバナシカロ,ハナバナシカッ,ハナバナシク,ハナバナシクッ,ハナバナシュウ,ハナバナシュゥ,ハナバナシキ,ハナバナシケレ,ハナバナシカレ,ハナバナシケリャ,ハナバナシキャ,ハナバナシ","華華しい","華華し","華華しから","華華しかろ","華華しかっ","華華しくっ","華華しゅぅ","華華しき","華華しけれ","華華しかれ","華華しけりゃ","華華しきゃ","華華し",""
"自立","*","*","形容詞・アウオ段","まだるっこい","マダルッコイ,マダルッコシ,マダルッコカラ,マダルッコカロ,マダルッコカッ,マダルッコク,マダルッコクッ,マダルッコウ,マダルッコゥ,マダルッコキ,マダルッコケレ,マダルッコカレ,マダルッコケリャ,マダルッコキャ,マダルッコ","まだるっこい","まだるっこし","まだるっこから","まだるっこかろ","まだるっこかっ","まだるっこくっ","まだるっこぅ","まだるっこき","まだるっこけれ","まだるっこかれ","まだるっこけりゃ","まだるっこきゃ","まだるっこ",""
"自立","*","*","形容詞・アウオ段","あたたかい","アタタカイ,アタタカシ,アタタカカラ,アタタカカロ,アタタカカッ,アタタカク,アタタカクッ,アタタカウ,アタタカゥ,アタタカキ,アタタカケレ,アタタカカレ,アタタカケリャ,アタタカキャ,アタタカ","あたたかい","あたたかし","あたたかから","あたたかかろ","あたたかかっ","あたたかくっ","あたたかぅ","あたたかき","あたたかけれ","あたたかかれ","あたたかけりゃ","あたたかきゃ","あたたか",""
"自立","*","*","形容詞・アウオ段","いそ臭い","イソクサイ,イソクサシ,イソクサカラ,イソクサカロ,イソクサカッ,イソクサク,イソクサクッ,イソクサウ,イソクサゥ,イソクサキ,イソクサケレ,イソクサカレ,イソクサケリャ,イソクサキャ,イソクサ","いそ臭い","いそ臭し","いそ臭から","いそ臭かろ","いそ臭かっ","いそ臭くっ","いそ臭ぅ","いそ臭き","いそ臭けれ","いそ臭かれ","いそ臭けりゃ","いそ臭きゃ","いそ臭",""
"自立","*","*","形容詞・アウオ段","あいない","アイナイ,アイナシ,アイナカラ,アイナカロ,アイナカッ,アイナク,アイナクッ,アイナウ,アイナゥ,アイナキ,アイナケレ,アイナカレ,アイナケリャ,アイナキャ,アイナ","あいない","あいなし","あいなから","あいなかろ","あいなかっ","あいなくっ","あいなぅ","あいなき","あいなけれ","あいなかれ","あいなけりゃ","あいなきゃ","あいな",""
"自立","*","*","形容詞・アウオ段","見づらい","ミヅライ,ミヅラシ,ミヅラカラ,ミヅラカロ,ミヅラカッ,ミヅラク,ミヅラクッ,ミヅラウ,ミヅラゥ,ミヅラキ,ミヅラケレ,ミヅラカレ,ミヅラケリャ,ミヅラキャ,ミヅラ","見づらい","見づらし","見づらから","見づらかろ","見づらかっ","見づらくっ","見づらぅ","見づらき","見づらけれ","見づらかれ","見づらけりゃ","見づらきゃ","見づら",""
"自立","*","*","形容詞・イ段","事事しい","コトゴトシイ,コトゴトシ,コトゴトシカラ,コトゴトシカロ,コトゴトシカッ,コトゴトシク,コトゴトシクッ,コトゴトシュウ,コトゴトシュゥ,コトゴトシキ,コトゴトシケレ,コトゴトシカレ,コトゴトシケリャ,コトゴトシキャ,コトゴトシ","事事しい","事事し","事事しから","事事しかろ","事事しかっ","事事しくっ","事事しゅぅ","事事しき","事事しけれ","事事しかれ","事事しけりゃ","事事しきゃ","事事し",""
"自立","*","*","形容詞・アウオ段","五月蝿い","ウルサイ,ウルサシ,ウルサカラ,ウルサカロ,ウルサカッ,ウルサク,ウルサクッ,ウルサウ,ウルサゥ,ウルサキ,ウルサケレ,ウルサカレ,ウルサケリャ,ウルサキャ,ウルサ","五月蝿い","五月蝿し","五月蝿から","五月蝿かろ","五月蝿かっ","五月蝿くっ","五月蝿ぅ","五月蝿き","五月蝿けれ","五月蝿かれ","五月蝿けりゃ","五月蝿きゃ","五月蝿",""
"自立","*","*","形容詞・イ段","麗々しい","レイレイシイ,レイレイシ,レイレイシカラ,レイレイシカロ,レイレイシカッ,レイレイシク,レイレイシクッ,レイレイシュウ,レイレイシュゥ,レイレイシキ,レイレイシケレ,レイレイシカレ,レイレイシケリャ,レイレイシキャ,レイレイシ","麗々しい","麗々し","麗々しから","麗々しかろ","麗々しかっ","麗々しくっ","麗々しゅぅ","麗々しき","麗々しけれ","麗々しかれ","麗々しけりゃ","麗々しきゃ","麗々し",""
"自立","*","*","形容詞・アウオ段","間遠い","マドオイ,マドオシ,マドオカラ,マドオカロ,マドオカッ,マドオク,マドオクッ,マドオウ,マドオゥ,マドオキ,マドオケレ,マドオカレ,マドオケリャ,マドオキャ,マドオ","間遠い","間遠し","間遠から","間遠かろ","間遠かっ","間遠くっ","間遠ぅ","間遠き","間遠けれ","間遠かれ","間遠けりゃ","間遠きゃ","間遠",""
"自立","*","*","形容詞・アウオ段","細長い","ホソナガイ,ホソナガシ,ホソナガカラ,ホソナガカロ,ホソナガカッ,ホソナガク,ホソナガクッ,ホソナガウ,ホソナガゥ,ホソナガキ,ホソナガケレ,ホソナガカレ,ホソナガケリャ,ホソナガキャ,ホソナガ","細長い","細長し","細長から","細長かろ","細長かっ","細長くっ","細長ぅ","細長き","細長けれ","細長かれ","細長けりゃ","細長きゃ","細長",""
"自立","*","*","形容詞・イ段","晴がましい","ハレガマシイ,ハレガマシ,ハレガマシカラ,ハレガマシカロ,ハレガマシカッ,ハレガマシク,ハレガマシクッ,ハレガマシュウ,ハレガマシュゥ,ハレガマシキ,ハレガマシケレ,ハレガマシカレ,ハレガマシケリャ,ハレガマシキャ,ハレガマシ","晴がましい","晴がまし","晴がましから","晴がましかろ","晴がましかっ","晴がましくっ","晴がましゅぅ","晴がましき","晴がましけれ","晴がましかれ","晴がましけりゃ","晴がましきゃ","晴がまし",""
"自立","*","*","形容詞・アウオ段","つゆけい","ツユケイ,ツユケシ,ツユケカラ,ツユケカロ,ツユケカッ,ツユケク,ツユケクッ,ツユケウ,ツユケゥ,ツユケキ,ツユケケレ,ツユケカレ,ツユケケリャ,ツユケキャ,ツユケ","つゆけい","つゆけし","つゆけから","つゆけかろ","つゆけかっ","つゆけくっ","つゆけぅ","つゆけき","つゆけけれ","つゆけかれ","つゆけけりゃ","つゆけきゃ","つゆけ",""
"自立","*","*","形容詞・イ段","愉しい","タノシイ,タノシ,タノシカラ,タノシカロ,タノシカッ,タノシク,タノシクッ,タノシュウ,タノシュゥ,タノシキ,タノシケレ,タノシカレ,タノシケリャ,タノシキャ,タノシ","愉しい","愉し","愉しから","愉しかろ","愉しかっ","愉しくっ","愉しゅぅ","愉しき","愉しけれ","愉しかれ","愉しけりゃ","愉しきゃ","愉し",""
"自立","*","*","形容詞・イ段","華々しい","ハナバナシイ,ハナバナシ,ハナバナシカラ,ハナバナシカロ,ハナバナシカッ,ハナバナシク,ハナバナシクッ,ハナバナシュウ,ハナバナシュゥ,ハナバナシキ,ハナバナシケレ,ハナバナシカレ,ハナバナシケリャ,ハナバナシキャ,ハナバナシ","華々しい","華々し","華々しから","華々しかろ","華々しかっ","華々しくっ","華々しゅぅ","華々しき","華々しけれ","華々しかれ","華々しけりゃ","華々しきゃ","華々し",""
"自立","*","*","形容詞・アウオ段","はしこい","ハシコイ,ハシコシ,ハシコカラ,ハシコカロ,ハシコカッ,ハシコク,ハシコクッ,ハシコウ,ハシコゥ,ハシコキ,ハシコケレ,ハシコカレ,ハシコケリャ,ハシコキャ,ハシコ","はしこい","はしこし","はしこから","はしこかろ","はしこかっ","はしこくっ","はしこぅ","はしこき","はしこけれ","はしこかれ","はしこけりゃ","はしこきゃ","はしこ",""
"自立","*","*","形容詞・イ段","口喧しい","クチヤカマシイ,クチヤカマシ,クチヤカマシカラ,クチヤカマシカロ,クチヤカマシカッ,クチヤカマシク,クチヤカマシクッ,クチヤカマシュウ,クチヤカマシュゥ,クチヤカマシキ,クチヤカマシケレ,クチヤカマシカレ,クチヤカマシケリャ,クチヤカマシキャ,クチヤカマシ","口喧しい","口喧し","口喧しから","口喧しかろ","口喧しかっ","口喧しくっ","口喧しゅぅ","口喧しき","口喧しけれ","口喧しかれ","口喧しけりゃ","口喧しきゃ","口喧し",""
"自立","*","*","形容詞・アウオ段","少い","スクナイ,スクナシ,スクナカラ,スクナカロ,スクナカッ,スクナク,スクナクッ,スクナウ,スクナゥ,スクナキ,スクナケレ,スクナカレ,スクナケリャ,スクナキャ,スクナ","少い","少し","少から","少かろ","少かっ","少くっ","少ぅ","少き","少けれ","少かれ","少けりゃ","少きゃ","少",""
"自立","*","*","形容詞・アウオ段","かくい","カクイ,カクシ,カクカラ,カクカロ,カクカッ,カクク,カククッ,カクウ,カクゥ,カクキ,カクケレ,カクカレ,カクケリャ,カクキャ,カク","かくい","かくし","かくから","かくかろ","かくかっ","かくくっ","かくぅ","かくき","かくけれ","かくかれ","かくけりゃ","かくきゃ","かく",""
"自立","*","*","形容詞・イ段","恭しい","ウヤウヤシイ,ウヤウヤシ,ウヤウヤシカラ,ウヤウヤシカロ,ウヤウヤシカッ,ウヤウヤシク,ウヤウヤシクッ,ウヤウヤシュウ,ウヤウヤシュゥ,ウヤウヤシキ,ウヤウヤシケレ,ウヤウヤシカレ,ウヤウヤシケリャ,ウヤウヤシキャ,ウヤウヤシ","恭しい","恭し","恭しから","恭しかろ","恭しかっ","恭しくっ","恭しゅぅ","恭しき","恭しけれ","恭しかれ","恭しけりゃ","恭しきゃ","恭し",""
"自立","*","*","形容詞・アウオ段","感慨深い","カンガイブカイ,カンガイブカシ,カンガイブカカラ,カンガイブカカロ,カンガイブカカッ,カンガイブカク,カンガイブカクッ,カンガイブカウ,カンガイブカゥ,カンガイブカキ,カンガイブカケレ,カンガイブカカレ,カンガイブカケリャ,カンガイブカキャ,カンガイブカ","感慨深い","感慨深し","感慨深から","感慨深かろ","感慨深かっ","感慨深くっ","感慨深ぅ","感慨深き","感慨深けれ","感慨深かれ","感慨深けりゃ","感慨深きゃ","感慨深",""
"自立","*","*","形容詞・イ段","男らしい","オトコラシイ,オトコラシ,オトコラシカラ,オトコラシカロ,オトコラシカッ,オトコラシク,オトコラシクッ,オトコラシュウ,オトコラシュゥ,オトコラシキ,オトコラシケレ,オトコラシカレ,オトコラシケリャ,オトコラシキャ,オトコラシ","男らしい","男らし","男らしから","男らしかろ","男らしかっ","男らしくっ","男らしゅぅ","男らしき","男らしけれ","男らしかれ","男らしけりゃ","男らしきゃ","男らし",""
"自立","*","*","形容詞・アウオ段","粘っこい","ネバッコイ,ネバッコシ,ネバッコカラ,ネバッコカロ,ネバッコカッ,ネバッコク,ネバッコクッ,ネバッコウ,ネバッコゥ,ネバッコキ,ネバッコケレ,ネバッコカレ,ネバッコケリャ,ネバッコキャ,ネバッコ","粘っこい","粘っこし","粘っこから","粘っこかろ","粘っこかっ","粘っこくっ","粘っこぅ","粘っこき","粘っこけれ","粘っこかれ","粘っこけりゃ","粘っこきゃ","粘っこ",""
"自立","*","*","形容詞・イ段","目新しい","メアタラシイ,メアタラシ,メアタラシカラ,メアタラシカロ,メアタラシカッ,メアタラシク,メアタラシクッ,メアタラシュウ,メアタラシュゥ,メアタラシキ,メアタラシケレ,メアタラシカレ,メアタラシケリャ,メアタラシキャ,メアタラシ","目新しい","目新し","目新しから","目新しかろ","目新しかっ","目新しくっ","目新しゅぅ","目新しき","目新しけれ","目新しかれ","目新しけりゃ","目新しきゃ","目新し",""
